COMUNIDAD AUTÓNOMA,Vías interurbanas,Vías interurbanas,Vías interurbanas,Vías interurbanas,Vías interurbanas,Vías urbanas,Vías urbanas,Vías urbanas,Vías urbanas,Vías urbanas,Total,Total,Total,Total,Total,Población,Población
Unnamed: 0_level_1,ACCIDENTES CON VÍCTIMAS,ACCIDENTES MORTALES,FALLECIDOS,HERIDOS HOSPITALIZADOS,HERIDOS NO HOSPITALIZADOS,ACCIDENTES CON VÍCTIMAS,ACCIDENTES MORTALES,FALLECIDOS,HERIDOS HOSPITALIZADOS,HERIDOS NO HOSPITALIZADOS,ACCIDENTES CON VÍCTIMAS,ACCIDENTES MORTALES,FALLECIDOS,HERIDOS HOSPITALIZADOS,HERIDOS NO HOSPITALIZADOS,Periodo,Total
Comunitat Valenciana,3457,97,101,443,4581,6763,52,53,526,7482,10220,149,154,969,12063,2023,5216195
País Vasco,2200,37,40,250,2881,2267,16,16,209,2530,4467,53,56,459,5411,2023,2216302
Andalucía,5211,226,254,719,7503,12765,102,104,750,15985,17976,328,358,1469,23488,2024,8631862
Aragón,1031,51,58,186,1350,1259,13,15,187,1348,2290,64,73,373,2698,2024,1351591
"Asturias, Principado de",827,27,29,119,1087,1118,15,15,97,1257,1945,42,44,216,2344,2024,1009599
"Balears, Illes",1302,44,50,196,1743,1586,12,12,111,1720,2888,56,62,307,3463,2024,1231768
Canarias,1894,44,46,234,2736,1963,23,23,209,2222,3857,67,69,443,4958,2024,2238754
Cantabria,551,12,12,57,721,652,7,7,60,753,1203,19,19,117,1474,2024,590851
Castilla - La Mancha,1701,85,93,231,2295,1295,13,13,112,1470,2996,98,106,343,3765,2024,2104433
Castilla y León,1883,117,134,399,2447,1927,29,29,220,2070,3810,146,163,619,4517,2024,2391682
Cataluña,8754,148,161,786,11916,15361,92,95,1080,17404,24115,240,256,1866,29320,2024,8012231
Extremadura,632,34,36,97,836,960,8,8,72,1104,1592,42,44,169,1940,2024,1054681
Galicia,2513,90,100,320,3375,1725,30,30,227,1922,4238,120,130,547,5297,2024,2705833
"Madrid, Comunidad de",2619,64,73,251,3631,11564,51,52,722,13421,14183,115,125,973,17052,2024,7009268
"Murcia, Región de",770,52,58,101,1199,3152,25,26,217,3802,3922,77,84,318,5001,2024,1568492
"Navarra, Comunidad Foral de",244,23,23,56,284,598,4,4,99,574,842,27,27,155,858,2024,678333
"Rioja, La",195,9,9,51,260,474,5,5,44,501,669,14,14,95,761,2024,324184
Comunitat Valenciana,3520,118,124,464,4592,7083,38,39,586,7620,10603,156,163,1050,12212,2024,5319285
País Vasco,2111,29,31,269,2740,2043,14,15,209,2287,4154,43,46,478,5027,2024,2227684
